CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000052A,15-7-007,026+0.012,028+0.251,P-52,27,2.248,4795.0,10779.160000000002,,LAKE,S SHORE RD,MT-35,Primary,5.4,887.9629629629629,1996.140740740741
C000052A,15-7-007,028+0.251,030+0.699,P-52,52,2.435,4795.0,11675.825,,FLATHEAD,S SHORE RD,MT-35,Primary,10.4,461.05769230769226,1122.6754807692307
C000052A,15-7-008,030+0.699,033+0.562,P-52,93,2.898,9735.25,28212.754500000003,,FLATHEAD,S SHORE RD,MT-35,Primary,18.6,523.4005376344086,1516.814758064516
C000052A,15-7-009,033+0.904,037+0.634,P-52,80,3.722,7893.25,29378.6765,,FLATHEAD,S SHORE RD,MT-35,Primary,16.0,493.328125,1836.16728125
C000052A,15-7-032,033+0.562,033+0.904,P-52,9,0.342,13462.0,4604.004,,FLATHEAD,S SHORE RD,MT-35,Primary,1.8,7478.888888888889,2557.7799999999997
C000052A,15-7A-001,045+0.018,046+0.475,P-52,29,1.454,9460.5,13755.567,,FLATHEAD,S SHORE RD,MT-35,Primary,5.8,1631.1206896551726,2371.6494827586207
C000052A,15-7A-003,041+0.430,045+0.018,P-52,41,3.591,9589.0,34434.099,,FLATHEAD,S SHORE RD,MT-35,Primary,8.2,1169.3902439024391,4199.2803658536595
C000052A,15-7A-004,037+0.634,041+0.430,P-52,63,3.779,7343.5,27751.0865,,FLATHEAD,S SHORE RD,MT-35,Primary,12.6,582.8174603174604,2202.467182539682
C000052A,15-7B-007,051+0.032,051+0.163,P-52,12,0.131,15745.0,2062.5950000000003,,FLATHEAD,S SHORE RD,MT-35,Primary,2.4,6560.416666666667,859.4145833333334
C000052A,15-7B-007,050+0.790,051+0.032,P-52,21,0.244,15903.5,3880.454,,FLATHEAD,S SHORE RD,MT-35,Primary,4.2,3786.547619047619,923.9176190476188
C000052A,15-7B-009,046+0.475,049+0.782,P-52,88,2.997,12836.0,38469.492,,FLATHEAD,S SHORE RD,MT-35,Primary,17.6,729.3181818181818,2185.7665909090906
C000052A,15-7B-087,049+0.782,050+0.617,P-52,23,0.685,12045.0,8250.825,,FLATHEAD,S SHORE RD,MT-35,Primary,4.6,2618.4782608695655,1793.6576086956525
C000052A,15-7B-096,050+0.617,050+0.790,P-52,21,0.173,13511.75,2337.53275,,FLATHEAD,S SHORE RD,MT-35,Primary,4.2,3217.083333333333,556.5554166666666
C000052A,24-2-008,006+0.142,016+0.435,P-52,92,10.27,2815.0,28910.05,,LAKE,S SHORE RD,MT-35,Primary,18.4,152.98913043478262,1571.1983695652175
C000052A,24-2-009,016+0.435,026+0.012,P-52,80,9.558,2587.25,24728.9355,,LAKE,S SHORE RD,MT-35,Primary,16.0,161.703125,1545.55846875
C000052A,24-2-034,000+0.198,000+0.218,P-52,1,0.02,8181.75,163.635,,LAKE,S SHORE RD,MT-35,Primary,0.2,40908.75,818.175
C000052A,24-2-034,000+0.000,000+0.198,P-52,20,0.198,8181.75,1619.9865,,LAKE,S SHORE RD,MT-35,Primary,4.0,2045.4375,404.996625
C000052A,A-073,000+0.218,006+0.142,P-52,101,5.918,4193.5,24817.133,,LAKE,S SHORE RD,MT-35,Primary,20.2,207.5990099009901,1228.5709405940595
