CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C228426,A,000+0.275,NOT IN CITY LIMITS,CASCADE,SEPTEMBER,2022,MON,459808.61404,359840.85481,47.473389806909097,-111.361000487092,0.275
C228426,A,000+0.308,NOT IN CITY LIMITS,CASCADE,MAY,2022,FRI,459762.07895,359816.81905,47.4731636047363,-111.361610412598,0.308
