CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000024A,25-3-014,109+0.079,110+0.340,N-24,5,1.245,1372.75,1709.0737500000002,,LEWIS AND CLARK,,MT-200,NI-NHS,1.0,1372.75,1709.0737500000002
C000024A,25-3-014,111+0.079,112+0.452,N-24,5,1.382,1372.75,1897.1404999999995,,LEWIS AND CLARK,,MT-200,NI-NHS,1.0,1372.75,1897.1404999999995
C000024A,25-4-001,068+0.469,071+0.482,N-24,33,2.993,2097.5,6277.8175,,LEWIS AND CLARK,,MT-200,NI-NHS,6.6,317.8030303030303,951.1844696969698
C000024A,25-4-003,078+0.036,082+0.983,N-24,26,4.944,1913.75,9461.58,,LEWIS AND CLARK,,MT-200,NI-NHS,5.2,368.02884615384613,1819.534615384615
C000024A,25-4-004,082+0.983,087+0.493,N-24,25,4.497,1508.6,6784.1741999999995,,LEWIS AND CLARK,,MT-200,NI-NHS,5.0,301.71999999999997,1356.83484
C000024A,32-3B-005,000+0.000,000+0.167,N-24,2,0.167,7502.25,1252.8757500000002,,MISSOULA,,MT-200,NI-NHS,0.4,18755.625,3132.1893750000004
C000024A,32-3B-005,000+0.167,000+1.080,N-24,30,0.913,7502.25,6849.55425,,MISSOULA,,MT-200,NI-NHS,6.0,1250.375,1141.592375
C000024A,32-3B-006,000+1.080,000+1.777,N-24,17,0.698,7247.75,5058.929499999999,,MISSOULA,,MT-200,NI-NHS,3.4,2131.6911764705883,1487.9204411764704
C000024A,32-3B-011,000+1.777,002+0.564,N-24,8,1.777,5862.75,10418.10675,,MISSOULA,,MT-200,NI-NHS,1.6,3664.21875,6511.316718749999
C000024A,32-4-002,016+0.459,022+0.364,N-24,50,5.923,3607.25,21365.74175,,MISSOULA,,MT-200,NI-NHS,10.0,360.725,2136.574175
C000024A,32-4-002,022+0.364,025+0.131,N-24,30,2.666,3607.25,9616.9285,,MISSOULA,,MT-200,NI-NHS,6.0,601.2083333333334,1602.821416666667
C000024A,32-4-002,025+0.131,026+0.774,N-24,19,1.635,3607.25,5897.85375,,MISSOULA,,MT-200,NI-NHS,3.8,949.2763157894738,1552.0667763157896
C000024A,32-4-004,035+0.690,044+0.558,N-24,47,8.902,2556.0,22753.512,,POWELL,,MT-200,NI-NHS,9.4,271.9148936170213,2420.586382978723
C000024A,32-4-004,031+0.873,035+0.690,N-24,41,3.828,2556.0,9784.368,,MISSOULA,,MT-200,NI-NHS,8.2,311.70731707317077,1193.2156097560978
C000024A,39-2-001,044+0.558,051+0.330,N-24,39,6.774,2685.4,18190.8996,,POWELL,,MT-200,NI-NHS,7.8,344.2820512820513,2332.1666153846154
C000024A,39-2-002,051+0.330,055+0.664,N-24,31,4.334,2867.25,12426.661499999998,,POWELL,,MT-200,NI-NHS,6.2,462.4596774193548,2004.3002419354837
C000024A,39-2-003,062+0.451,063+0.364,N-24,7,0.91,1702.5,1549.275,,POWELL,,MT-200,NI-NHS,1.4,1216.071428571429,1106.6250000000002
C000024A,39-2-003,063+0.364,065+0.451,N-24,13,2.09,1702.5,3558.225,,POWELL,,MT-200,NI-NHS,2.6,654.8076923076923,1368.548076923077
C000024A,39-2-003,055+0.664,062+0.451,N-24,52,6.777,1702.5,11537.8425,,POWELL,,MT-200,NI-NHS,10.4,163.70192307692307,1109.4079326923077
C000024A,39-2-003,065+0.451,068+0.469,N-24,21,3.035,1702.5,5167.087500000001,,LEWIS AND CLARK,,MT-200,NI-NHS,4.2,405.3571428571428,1230.258928571429
C000024A,A-015,002+0.564,016+0.459,N-24,133,13.712,4602.0,63102.624,,MISSOULA,,MT-200,NI-NHS,26.6,173.00751879699249,2372.279097744361
C000024A,W-132,028+0.073,029+0.420,N-24,14,1.344,3114.5,4185.888,,MISSOULA,,MT-200,NI-NHS,2.8,1112.321428571429,1494.96
C000024A,W-132,029+0.420,030+0.098,N-24,2,0.682,3114.5,2124.089,,MISSOULA,,MT-200,NI-NHS,0.4,7786.25,5310.2225
C000024A,W-132,030+0.098,031+0.873,N-24,13,1.765,3114.5,5497.0925,,MISSOULA,,MT-200,NI-NHS,2.6,1197.8846153846152,2114.266346153846
C000024A,W-132,026+0.774,026+0.934,N-24,2,0.16,3114.5,498.32,,MISSOULA,,MT-200,NI-NHS,0.4,7786.25,1245.8
C000024A,W-132,026+0.934,028+0.073,N-24,6,1.137,3114.5,3541.1865000000003,,MISSOULA,,MT-200,NI-NHS,1.2,2595.416666666667,2950.9887500000004
C000024A,W-149,071+0.482,078+0.036,N-24,55,6.516,1964.5,12800.682,,LEWIS AND CLARK,,MT-200,NI-NHS,11.0,178.5909090909091,1163.6983636363636
